"","income","mstatus","race"
"1",5,2,1
"2",6,2,1
"3",3,2,1
"4",8,2,1
"5",1,2,1
"6",4,2,1
"7",6,2,1
"8",6,2,1
"9",2,2,1
"10",8,1,1
"11",7,2,1
"12",3,2,1
"13",5,2,1
"14",6,2,1
"15",1,2,1
"16",3,2,2
"17",1,2,1
"18",7,1,1
"19",2,2,1
"20",9,2,1
"21",4,2,1
"22",5,2,1
"23",2,2,1
"24",1,2,1
"25",2,2,1
"26",1,2,1
"27",5,2,1
"28",1,2,1
"29",3,1,1
"30",1,2,1
"31",4,2,1
"32",5,2,1
"33",5,2,1
"34",4,2,1
"35",4,2,1
"36",3,2,1
"37",9,1,2
"38",6,2,2
"39",1,2,1
"40",1,2,1
"41",1,2,1
"42",6,2,1
"43",8,2,1
"44",3,2,1
"45",1,1,1
"46",4,2,1
"47",4,2,1
"48",1,2,1
"49",2,2,1
"50",5,1,1
"51",5,2,1
"52",NA,2,1
"53",6,2,1
"54",6,2,1
"55",4,2,1
"56",4,2,1
"57",6,2,2
"58",9,1,2
"59",3,2,1
"60",6,1,1
"61",3,2,1
"62",7,1,1
"63",3,2,1
"64",NA,2,1
"65",1,1,2
"66",2,2,1
"67",2,2,1
"68",3,1,1
"69",NA,2,1
"70",5,1,1
"71",5,2,1
"72",5,2,1
"73",5,2,1
"74",5,2,1
"75",3,2,1
"76",1,2,1
"77",NA,2,1
"78",3,2,1
"79",2,2,1
"80",2,2,1
"81",9,1,1
"82",10,1,1
"83",1,2,2
"84",5,2,2
"85",10,1,1
"86",8,1,1
"87",1,2,1
"88",3,2,1
"89",3,2,1
"90",6,1,1
"91",3,2,1
"92",2,2,1
"93",1,2,1
"94",4,2,1
"95",4,2,1
"96",5,2,1
"97",4,1,1
"98",5,1,1
"99",1,2,2
"100",4,2,1
"101",4,2,2
"102",8,1,2
"103",5,2,2
"104",2,2,2
"105",6,1,1
"106",4,2,1
"107",2,2,1
"108",7,2,1
"109",4,2,1
"110",7,2,2
"111",7,2,1
"112",4,2,1
"113",10,1,1
"114",3,2,1
"115",3,2,1
"116",8,2,1
"117",10,2,2
"118",NA,1,1
"119",1,2,1
"120",8,2,2
"121",5,2,1
"122",3,2,1
"123",5,2,1
"124",3,2,1
"125",3,2,1
"126",4,2,1
"127",1,2,1
"128",5,2,1
"129",4,2,1
"130",3,2,1
"131",1,2,1
"132",3,2,1
"133",1,2,1
"134",8,1,2
"135",NA,1,1
"136",1,1,1
"137",1,2,1
"138",7,1,1
"139",3,2,1
"140",4,1,1
"141",7,2,1
"142",8,2,1
"143",8,1,1
"144",4,2,2
"145",6,2,1
"146",1,2,1
"147",1,2,1
"148",5,2,1
"149",2,2,1
"150",7,1,1
"151",7,2,1
"152",7,1,1
"153",1,2,1
"154",1,2,1
"155",3,1,1
"156",5,2,1
"157",3,2,1
"158",3,2,1
"159",5,2,1
"160",7,2,1
"161",NA,2,1
"162",4,2,1
"163",4,2,1
"164",1,2,2
"165",3,2,1
"166",3,2,1
"167",1,2,1
"168",4,1,1
"169",6,2,1
"170",7,2,1
"171",3,2,1
"172",NA,2,1
"173",NA,2,1
"174",NA,2,1
"175",1,2,1
"176",3,2,1
"177",3,2,1
"178",1,2,1
"179",9,1,1
"180",3,2,1
"181",NA,2,1
"182",5,2,1
"183",4,2,1
"184",3,2,1
"185",4,2,1
"186",8,1,2
"187",1,2,1
"188",1,2,1
"189",7,2,1
"190",6,1,1
"191",8,1,1
"192",9,1,1
"193",4,2,2
"194",2,2,1
"195",4,2,1
"196",NA,1,2
"197",4,2,1
"198",1,2,2
"199",7,1,1
"200",3,2,1
"201",1,2,1
"202",4,2,1
"203",NA,2,1
"204",4,1,1
"205",3,2,1
"206",2,2,1
"207",3,2,1
"208",6,2,1
"209",2,2,1
"210",6,1,1
"211",4,2,1
"212",7,2,1
"213",1,2,1
"214",4,1,1
"215",3,2,1
"216",3,1,1
"217",2,2,1
"218",6,2,1
"219",1,1,1
"220",4,2,1
"221",5,2,1
"222",2,2,1
"223",4,2,1
"224",7,1,1
"225",4,2,1
"226",7,1,1
"227",3,2,1
"228",10,1,1
"229",10,1,1
"230",7,1,1
"231",1,2,1
"232",4,2,1
"233",4,2,1
"234",7,2,1
"235",3,2,1
"236",NA,2,1
"237",3,2,1
"238",7,2,1
"239",3,2,1
"240",NA,2,1
"241",2,2,1
"242",1,2,1
"243",3,2,1
"244",10,1,1
"245",4,2,1
"246",1,2,1
"247",10,1,1
"248",7,2,1
"249",4,2,1
"250",4,1,1
"251",1,2,1
"252",1,2,1
"253",5,1,2
"254",6,2,2
"255",5,2,2
"256",3,2,1
"257",5,2,1
"258",NA,2,2
"259",5,2,1
"260",8,2,2
"261",1,1,1
"262",5,2,1
"263",3,2,1
"264",4,2,1
"265",5,2,1
"266",3,2,1
"267",7,2,1
"268",4,2,1
"269",5,2,1
"270",5,2,1
"271",3,2,1
"272",4,2,1
"273",4,2,1
"274",4,2,1
"275",4,2,1
"276",1,2,2
"277",7,2,1
"278",3,2,1
"279",7,1,1
"280",7,1,1
"281",6,1,1
"282",1,2,1
"283",9,1,1
"284",9,1,1
"285",10,2,1
"286",6,1,1
"287",2,2,1
"288",9,1,1
"289",3,2,2
"290",9,1,1
"291",5,2,1
"292",7,1,2
"293",3,2,1
"294",2,2,1
"295",4,1,1
"296",1,2,1
"297",1,2,1
"298",5,1,1
"299",4,1,1
"300",2,1,1
"301",6,2,1
"302",4,2,1
"303",6,2,1
"304",NA,2,1
"305",5,2,2
"306",4,2,1
"307",4,2,1
"308",1,2,1
"309",7,2,1
"310",3,2,1
"311",8,1,1
"312",3,2,1
"313",7,1,1
"314",6,1,1
"315",5,2,1
"316",1,2,1
"317",10,1,1
"318",3,2,1
"319",1,2,1
"320",4,1,1
"321",NA,2,1
"322",4,2,1
"323",1,1,1
"324",9,1,1
"325",NA,2,1
"326",1,2,1
"327",3,2,1
"328",3,2,2
"329",5,2,2
"330",5,1,1
"331",4,2,2
"332",6,2,1
"333",4,2,1
"334",3,2,2
"335",7,1,2
"336",6,2,1
"337",5,2,1
"338",3,2,1
"339",6,2,1
"340",2,2,1
"341",10,1,1
"342",4,1,1
"343",4,1,1
"344",5,2,1
"345",3,2,1
"346",3,1,1
"347",2,2,1
"348",8,1,1
"349",4,1,1
"350",7,1,1
"351",3,2,1
"352",NA,2,1
"353",4,2,1
"354",3,2,1
"355",4,2,1
"356",1,1,1
"357",1,2,1
"358",1,2,1
"359",1,2,1
"360",2,2,1
"361",1,2,1
"362",6,2,1
"363",2,2,1
"364",2,2,1
"365",2,2,1
"366",4,2,1
"367",4,2,1
"368",3,2,1
"369",5,2,1
"370",1,2,1
"371",1,2,1
"372",3,2,1
"373",4,2,1
"374",4,2,1
"375",5,2,1
"376",4,2,1
"377",8,1,1
"378",NA,2,1
"379",NA,2,1
"380",2,2,1
"381",2,2,1
"382",1,2,1
"383",3,2,1
"384",6,1,2
"385",1,2,1
"386",2,2,1
"387",9,1,1
"388",4,2,1
"389",10,1,1
"390",4,2,1
"391",4,2,1
"392",9,2,1
"393",4,2,1
"394",3,2,1
"395",2,2,1
"396",4,2,1
"397",3,2,1
"398",3,2,2
"399",4,2,1
"400",3,2,1
"401",5,1,1
"402",2,2,1
"403",8,1,1
"404",1,2,1
"405",9,1,1
"406",10,1,1
"407",6,2,1
"408",4,2,1
"409",NA,2,1
"410",5,2,1
"411",2,1,1
"412",6,2,1
"413",4,2,1
"414",1,2,1
"415",4,2,1
"416",4,2,1
"417",1,2,1
"418",3,2,1
"419",NA,2,1
"420",1,2,1
"421",NA,1,1
"422",1,2,1
"423",6,2,1
"424",1,2,1
"425",10,1,1
"426",1,2,1
"427",4,2,1
"428",2,2,1
"429",2,2,1
"430",3,2,1
"431",2,1,1
"432",7,1,1
"433",7,2,2
"434",1,2,1
"435",NA,2,2
"436",7,2,1
"437",6,2,1
"438",4,2,1
"439",4,2,1
"440",3,2,1
"441",6,1,1
"442",7,2,1
"443",3,2,1
"444",7,1,1
"445",6,2,1
"446",1,2,1
"447",6,1,1
"448",8,1,1
"449",5,2,1
"450",4,1,1
"451",3,2,1
"452",3,2,1
"453",3,2,1
"454",4,2,1
"455",10,2,1
"456",4,2,1
"457",3,2,1
"458",2,2,1
"459",4,2,1
"460",3,2,1
"461",3,2,1
"462",3,2,1
"463",8,2,1
"464",2,2,1
"465",4,2,1
